НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000007424;1000;880;-1;9;-1;9;0;0;0;0;0;0;0;0;;;
00000007425;1000;880;-1;10;-1;10;0;0;0;0;0;0;0;0;;;
00000007427;3240;2920;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000007436;1200;1200;0;26;0;26;0;0;0;0;0;0;0;0;;;
00000007438;5500;5500;0;1;0;0;0;1;0;0;0;0;0;0;;;
00000007439;1500;1500;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000007443;5500;5150;5;0;3;0;2;0;0;0;0;0;0;0;;;
00000007445;6960;6660;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000007446;8190;7480;9;0;9;0;0;0;0;0;0;0;0;0;;;
00000007464;3710;3500;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000007469;26210;24030;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000007471;21390;19600;2;0;0;0;2;0;0;0;0;0;0;0;;;
00000007473;40200;36850;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000007474;33530;30730;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000007733;1990;1740;9;0;0;0;5;0;4;0;0;0;0;0;;;
00000007761;34860;32240;4;0;2;0;2;0;0;0;0;0;0;0;;;
00000007877;740;600;9;0;3;0;2;0;4;0;0;0;0;0;;;
00000007899;137350;127020;18;0;18;0;0;0;0;0;0;0;0;0;;;
00000007902;10270;9480;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000007969;30010;27790;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000008016;2370;2150;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000008045;10290;9430;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008070;3880;3540;0;1;0;1;0;0;0;0;0;0;0;0;;;
00000008132;6630;6260;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008143;1650;1450;1;0;0;0;0;0;0;0;1;0;0;0;;;
00000008150;8620;7470;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000008178;16770;16100;22;0;22;0;0;0;0;0;0;0;0;0;;;
00000008193;9360;8580;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008195;20890;19280;26;4;26;4;0;0;0;0;0;0;0;0;;;
00000008196;14510;13300;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000008197;21530;19730;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000008204;1990;1760;6;0;6;0;0;0;0;0;0;0;0;0;;;
00000008338;49140;44930;2;2;2;2;0;0;0;0;0;0;0;0;;;
00000008366;920;860;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000008436;168060;155420;0;4;0;4;0;0;0;0;0;0;0;0;6;2022-03-10;
00000008476;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008478;2140;1670;5;0;5;0;0;0;0;0;0;0;0;0;;;
00000008482;0;0;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000008483;0;0;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000008502;6030;5780;4;0;0;0;0;0;4;0;0;0;0;0;;;
00000008503;1720;1610;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000008538;3930;3550;4;0;0;0;4;0;0;0;0;0;0;0;;;
00000008574;3620;3350;1;0;0;0;0;0;0;0;1;0;0;0;;;
00000008575;1410;1220;4;0;0;0;0;0;0;0;4;0;0;0;;;
00000008629;7000;6450;2;0;0;0;0;0;0;0;2;0;0;0;;;
00000008630;6850;6450;9;0;9;0;0;0;0;0;0;0;0;0;;;
00000008766;4120;3820;8;0;4;0;2;0;2;0;0;0;0;0;;;
00000008815;1580;1360;1;0;0;0;0;0;0;0;1;0;0;0;;;
00000008976;3150;2650;79;0;79;0;0;0;0;0;0;0;0;0;;;
00000009001;4350;3870;50;0;50;0;0;0;0;0;0;0;0;0;;;
00000009003;76870;71090;47;0;38;0;2;0;0;0;3;0;4;0;;;
00000009078;1010;820;30;0;30;0;0;0;0;0;0;0;0;0;;;
00000009079;5000;4470;60;0;60;0;0;0;0;0;0;0;0;0;;;
00000009080;4240;3850;40;0;40;0;0;0;0;0;0;0;0;0;;;
00000009081;5240;4710;70;1;64;1;0;0;0;0;6;0;0;0;;;
00000009082;4260;3730;58;0;52;0;0;0;0;0;6;0;0;0;;;
00000009083;2950;2430;129;0;129;0;0;0;0;0;0;0;0;0;;;
00000009084;3000;2300;44;0;44;0;0;0;0;0;0;0;0;0;;;
00000009093;3920;3530;55;0;55;0;0;0;0;0;0;0;0;0;;;
00000009095;4040;3370;25;0;18;0;0;0;0;0;7;0;0;0;;;
00000009096;6650;5960;8;0;2;0;0;0;0;0;6;0;0;0;;;
00000009158;4360;4130;8;6;2;0;0;6;2;0;4;0;0;0;66;2022-03-14;
00000009159;5580;5280;31;0;25;0;2;0;4;0;0;0;0;0;;;
00000009160;8010;7580;5;6;1;0;0;6;4;0;0;0;0;0;;;
00000009161;19470;18420;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009164;28390;26860;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000009171;16930;16020;2;0;0;0;2;0;0;0;0;0;0;0;;;
00000009174;13480;12280;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009200;15700;14820;10;4;2;4;8;0;0;0;0;0;0;0;12;2022-03-14;
00000009204;22040;21150;36;0;20;0;6;0;2;0;8;0;0;0;;;
00000009205;37920;35880;40;0;34;0;4;0;2;0;0;0;0;0;5;2022-03-14;
00000009206;33560;31760;1;0;0;0;1;0;0;0;0;0;0;0;;;
00000009232;36710;34730;3;2;3;2;0;0;0;0;0;0;0;0;;;
00000009236;8720;8250;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009238;8520;8060;14;0;6;0;2;0;2;0;4;0;0;0;;;
00000009243;9350;9100;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009247;2540;2400;152;0;140;0;2;0;0;0;10;0;0;0;;;
00000009252;27680;26190;8;4;8;4;0;0;0;0;0;0;0;0;;;
00000009307;17240;16310;10;0;8;0;2;0;0;0;0;0;0;0;;;
00000009311;10340;9760;4;0;0;0;4;0;0;0;0;0;0;0;;;
00000009315;20090;18960;1;0;1;0;0;0;0;0;0;0;0;0;26;2022-03-14;
00000009319;51520;42500;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000009326;4040;3370;1;0;1;0;0;0;0;0;0;0;0;0;100;2022-05-18;
00000009328;5520;5170;91;2;83;2;0;0;0;0;8;0;0;0;;;
00000009330;5950;5310;96;0;88;0;0;0;0;0;8;0;0;0;;;
00000009331;6570;5870;31;0;23;0;0;0;0;0;8;0;0;0;;;
00000009332;6690;5970;52;6;44;6;0;0;0;0;8;0;0;0;;;
00000009333;7780;6950;82;6;74;6;0;0;0;0;8;0;0;0;;;
00000009420;5000;4760;7;0;1;0;0;0;0;0;6;0;0;0;;;
00000009426;32680;30220;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000009427;39940;36940;4;0;0;0;2;0;0;0;2;0;0;0;;;
00000009428;37350;34540;33;1;25;0;0;0;2;0;3;0;3;1;;;
00000009458;177400;164060;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000009471;32240;30930;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009474;12640;11510;17;0;17;0;0;0;0;0;0;0;0;0;;;
00000009477;4610;4370;26;0;26;0;0;0;0;0;0;0;0;0;;;
00000009480;23830;22000;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009482;9070;8270;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000009485;4430;3990;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009487;4000;3510;102;0;97;0;0;0;0;0;5;0;0;0;;;
00000009488;9200;8500;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009522;45130;41730;4;0;0;0;4;0;0;0;0;0;0;0;;;
00000009523;50940;47110;2;4;2;4;0;0;0;0;0;0;0;0;20;2022-03-10;
00000009525;38900;35980;5;3;0;0;2;0;0;2;0;0;3;1;;;
00000009526;71890;66490;26;0;22;0;4;0;0;0;0;0;0;0;;;
00000009536;3300;2900;1;0;0;0;0;0;0;0;1;0;0;0;750;2021-12-01;
00000009537;2360;2040;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009541;8800;8150;18;0;14;0;0;0;0;0;4;0;0;0;;;
00000009542;10140;9390;9;0;7;0;0;0;0;0;2;0;0;0;;;
00000009551;6750;6490;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000009584;32450;30700;1;0;1;0;0;0;0;0;0;0;0;0;20;2022-03-14;
00000009653;8630;8000;289;0;263;0;6;0;10;0;10;0;0;0;;;
00000009654;22220;20570;82;0;60;0;10;0;6;0;6;0;0;0;;;
00000009655;340;310;20;0;17;0;0;0;3;0;0;0;0;0;100;2022-03-10;
00000009656;410;370;151;0;137;0;2;0;10;0;2;0;0;0;;;
00000009657;840;760;131;7;106;0;17;0;8;4;0;3;0;0;;;
00000009658;870;790;15;0;4;0;6;0;5;0;0;0;0;0;;;
00000009659;1240;1120;6;0;5;0;1;0;0;0;0;0;0;0;10;2022-03-10;
00000009661;3710;2930;1;0;1;0;0;0;0;0;0;0;0;0;50;2022-02-23;
00000009662;2980;2700;39;0;29;0;4;0;2;0;4;0;0;0;;;
00000009695;4460;3850;85;0;61;0;0;0;8;0;0;0;16;0;;;
00000009696;4420;3930;71;0;71;0;0;0;0;0;0;0;0;0;;;
00000009697;5620;5150;110;0;72;0;6;0;8;0;0;0;24;0;108;2022-03-10;
00000009698;8190;7680;1;0;0;0;0;0;0;0;0;0;1;0;70;2022-02-23;
00000009700;4230;3760;93;0;68;0;6;0;4;0;0;0;15;0;;;
00000009703;5460;4370;2;2;0;2;1;0;0;0;0;0;1;0;;;
00000009705;3900;3350;121;2;79;2;8;0;9;0;0;0;25;0;;;
00000009716;77810;71960;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009724;4260;3860;12;0;12;0;0;0;0;0;0;0;0;0;30;2022-03-10;
00000009728;38120;35300;44;0;44;0;0;0;0;0;0;0;0;0;;;
00000009733;19500;18720;10;2;0;2;10;0;0;0;0;0;0;0;;;
00000009734;6490;6140;1;0;0;0;0;0;1;0;0;0;0;0;;;
00000009746;14400;13620;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000009819;11420;10940;5;0;5;0;0;0;0;0;0;0;0;0;;;
00000009830;5810;5240;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009831;3750;3300;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000009852;7100;6750;8;0;8;0;0;0;0;0;0;0;0;0;;;
00000009875;730;700;53;0;53;0;0;0;0;0;0;0;0;0;;;
00000009890;18980;17560;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009894;13160;12190;20;0;4;0;8;0;4;0;4;0;0;0;;;
00000009913;1130;1070;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000009914;870;830;15;0;15;0;0;0;0;0;0;0;0;0;;;
00000009930;108930;100740;13;4;13;4;0;0;0;0;0;0;0;0;6;2022-02-23;
00000009931;45440;42020;39;4;20;4;8;0;4;0;7;0;0;0;16;2022-03-10;
00000009932;25210;23310;55;0;33;0;10;0;4;0;8;0;0;0;5;2022-02-23;
00000009933;13180;12470;25;0;25;0;0;0;0;0;0;0;0;0;;;
00000009973;20790;19670;20;0;20;0;0;0;0;0;0;0;0;0;;;
00000009991;9350;8500;12;0;12;0;0;0;0;0;0;0;0;0;;;
00000010003;52120;48860;1;0;1;0;0;0;0;0;0;0;0;0;;;
00000010016;8260;7900;2;0;2;0;0;0;0;0;0;0;0;0;;;
00000010087;4000;3650;79;0;71;0;0;0;0;0;8;0;0;0;;;
00000010088;4280;3990;51;0;43;0;0;0;0;0;8;0;0;0;;;
00000010103;1140;1080;27;0;27;0;0;0;0;0;0;0;0;0;;;
00000010159;550;470;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000010165;1220;1080;3;0;3;0;0;0;0;0;0;0;0;0;;;
00000010178;5170;4890;4;0;4;0;0;0;0;0;0;0;0;0;;;
00000010212;52700;48740;6;0;6;0;0;0;0;0;0;0;0;0;10;2022-02-23;
00000010213;45650;42210;30;0;26;0;0;0;0;0;4;0;0;0;;;
00000010223;1370;1240;36;0;36;0;0;0;0;0;0;0;0;0;50;2022-02-23;
00000010224;820;750;32;0;26;0;0;0;6;0;0;0;0;0;50;2022-02-23;
