НоменклатураКод;ЦенаРозн;ЦенаОпт;Свободно;Резерв;Климовск;КлимовскР;Краснодар;КраснодарР;Воронеж;ВоронежР;СанктПетербург;СанктПетербургР;Екатеринбург;ЕкатеринбургР;Ожидается;Дата;
00000011417;2630;2630;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007738;1500;1310;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007741;7890;7310;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007744;5610;5280;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007794;2020;1760;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007819;2170;2080;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007877;850;750;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007878;2090;1950;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007900;800;700;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007963;1190;1050;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007965;5240;4850;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008016;3420;3100;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007683;1960;1670;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007699;4800;4340;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010521;13300;12350;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009724;3820;3460;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010111;2460;2250;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008493;3510;2810;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009885;970;860;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009912;7440;7260;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009946;6240;5780;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009947;990;940;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009981;1450;1330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009551;9390;8690;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009560;9660;8900;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009780;1510;1270;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009354;9680;9010;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009819;10250;9820;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010077;1810;1690;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009657;750;680;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009658;780;710;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009659;1640;1470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009660;3570;2740;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009661;3220;2720;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009662;3920;3550;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009663;1810;1740;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009379;1200;1200;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009240;3000;2800;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009314;3650;3310;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009705;4590;3950;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009629;4800;4470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009630;6530;6080;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009631;1000;980;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009459;3920;3640;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008985;2330;2160;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008986;5370;5130;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009129;3920;3640;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010949;6840;6160;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010996;3630;3380;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011009;850;730;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011029;15200;14440;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011265;1130;1080;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011266;1000;980;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011268;660;650;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011271;6300;5810;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009610;2700;2390;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009697;5600;4500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009699;3500;3010;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009701;2220;2010;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009702;2220;2010;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009547;1080;950;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008813;3510;3330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008814;7040;6230;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008087;7850;7060;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008116;640;600;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008117;450;450;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008062;3390;3100;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010242;750;700;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010060;1890;1650;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010404;3500;3220;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010405;7700;7150;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008847;14500;14500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009042;1000;1000;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009050;7470;6920;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006561;6510;6040;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006562;2670;2520;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006563;540;480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006564;1100;1000;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006565;5200;4900;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006566;1600;1480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006567;8400;8330;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006571;1060;960;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006575;4390;4050;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006576;1620;1510;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006577;3750;3350;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006578;280;250;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006580;6550;6060;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006581;2090;1870;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006582;3920;3300;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006583;8370;7750;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006585;390;350;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006587;490;410;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006589;540;450;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006591;540;480;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006596;840;770;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006598;3520;3250;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006599;3000;2500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006601;550;400;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006603;1530;1440;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006605;5680;5080;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006606;810;730;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006607;5010;4810;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006610;4030;3720;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006611;170;150;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006614;1390;1250;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006615;1880;1750;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006617;2350;2100;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006618;2830;2530;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006619;3240;2900;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006620;4840;4320;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008187;1220;1020;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008936;16200;15120;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011815;4000;3900;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000011837;2950;2830;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008133;1800;1670;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008604;630;570;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010886;450;370;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008240;240;240;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008252;1300;1200;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007732;370;320;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007737;450;390;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007790;440;390;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007962;640;550;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007684;1730;1470;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000007700;2380;2300;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009351;510;490;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009873;1730;1580;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010105;1350;1220;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009637;1650;1490;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009313;1540;1440;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000009386;330;300;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008816;1680;1580;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010165;1800;1690;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010410;1680;1520;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000010411;2700;2430;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008870;2740;2430;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008915;1160;1040;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008353;320;290;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006623;1480;1300;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006624;250;230;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006625;170;160;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006627;1480;1300;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006628;400;350;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006630;290;250;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006632;3400;3340;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006633;580;500;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006634;260;240;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006635;130;120;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006636;130;120;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006638;1880;1680;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006640;120;120;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000006643;130;120;0;0;0;0;0;0;0;0;0;0;0;0;;;
00000008191;1360;1200;0;0;0;0;0;0;0;0;0;0;0;0;;;
